a,b,source,shared_vertices
AD,ES,natural-earth-v5.1.2,34
AD,FR,natural-earth-v5.1.2,18
AE,OM,natural-earth-v5.1.2,171
AE,SA,natural-earth-v5.1.2,46
AF,CN,natural-earth-v5.1.2,40
AF,IR,natural-earth-v5.1.2,195
AF,PK,natural-earth-v5.1.2,584
AF,TJ,natural-earth-v5.1.2,459
AF,TM,natural-earth-v5.1.2,202
AF,UZ,natural-earth-v5.1.2,55
AL,GR,natural-earth-v5.1.2,130
AL,ME,natural-earth-v5.1.2,84
AL,MK,natural-earth-v5.1.2,77
AL,XK,natural-earth-v5.1.2,46
AM,AZ,natural-earth-v5.1.2,264
AM,GE,natural-earth-v5.1.2,65
AM,IR,natural-earth-v5.1.2,12
AM,TR,natural-earth-v5.1.2,94
AO,CD,natural-earth-v5.1.2,629
AO,CG,natural-earth-v5.1.2,48
AO,NA,natural-earth-v5.1.2,255
AO,ZM,natural-earth-v5.1.2,207
AR,BO,natural-earth-v5.1.2,173
AR,BR,natural-earth-v5.1.2,445
AR,CL,natural-earth-v5.1.2,1479
AR,PY,natural-earth-v5.1.2,639
AR,UY,natural-earth-v5.1.2,76
AT,CH,natural-earth-v5.1.2,62
AT,CZ,natural-earth-v5.1.2,168
AT,DE,natural-earth-v5.1.2,358
AT,HU,natural-earth-v5.1.2,162
AT,IT,natural-earth-v5.1.2,153
AT,LI,natural-earth-v5.1.2,15
AT,SI,natural-earth-v5.1.2,124
AT,SK,natural-earth-v5.1.2,60
AZ,GE,natural-earth-v5.1.2,100
AZ,IR,natural-earth-v5.1.2,210
AZ,RU,natural-earth-v5.1.2,99
AZ,TR,natural-earth-v5.1.2,4
BA,HR,natural-earth-v5.1.2,369
BA,ME,natural-earth-v5.1.2,95
BA,RS,natural-earth-v5.1.2,148
BD,IN,natural-earth-v5.1.2,941
BD,MM,natural-earth-v5.1.2,47
BE,DE,natural-earth-v5.1.2,87
BE,FR,natural-earth-v5.1.2,249
BE,LU,natural-earth-v5.1.2,101
BE,NL,natural-earth-v5.1.2,186
BF,BJ,natural-earth-v5.1.2,139
BF,CI,natural-earth-v5.1.2,254
BF,GH,natural-earth-v5.1.2,180
BF,ML,natural-earth-v5.1.2,354
BF,NE,natural-earth-v5.1.2,168
BF,TG,natural-earth-v5.1.2,20
BG,GR,natural-earth-v5.1.2,215
BG,MK,natural-earth-v5.1.2,80
BG,RO,natural-earth-v5.1.2,122
BG,RS,natural-earth-v5.1.2,177
BG,TR,natural-earth-v5.1.2,114
BI,CD,natural-earth-v5.1.2,52
BI,RW,natural-earth-v5.1.2,104
BI,TZ,natural-earth-v5.1.2,153
BJ,NE,natural-earth-v5.1.2,119
BJ,NG,natural-earth-v5.1.2,228
BJ,TG,natural-earth-v5.1.2,128
BN,MY,natural-earth-v5.1.2,120
BO,BR,natural-earth-v5.1.2,833
BO,CL,natural-earth-v5.1.2,185
BO,PE,natural-earth-v5.1.2,222
BO,PY,natural-earth-v5.1.2,82
BR,CO,natural-earth-v5.1.2,303
BR,GF,natural-earth-v5.1.2,181
BR,GY,natural-earth-v5.1.2,430
BR,PE,natural-earth-v5.1.2,524
BR,PY,natural-earth-v5.1.2,420
BR,SR,natural-earth-v5.1.2,123
BR,UY,natural-earth-v5.1.2,259
BR,VE,natural-earth-v5.1.2,367
BT,CN,natural-earth-v5.1.2,130
BT,IN,natural-earth-v5.1.2,198
BW,NA,natural-earth-v5.1.2,247
BW,ZA,natural-earth-v5.1.2,516
BW,ZW,natural-earth-v5.1.2,195
BY,LT,natural-earth-v5.1.2,227
BY,LV,natural-earth-v5.1.2,45
BY,PL,natural-earth-v5.1.2,142
BY,RU,natural-earth-v5.1.2,397
BY,UA,natural-earth-v5.1.2,366
BZ,GT,natural-earth-v5.1.2,22
BZ,MX,natural-earth-v5.1.2,67
CA,US,natural-earth-v5.1.2,1172
CD,CF,natural-earth-v5.1.2,608
CD,CG,natural-earth-v5.1.2,361
CD,RW,natural-earth-v5.1.2,60
CD,SS,natural-earth-v5.1.2,243
CD,TZ,natural-earth-v5.1.2,40
CD,UG,natural-earth-v5.1.2,217
CD,ZM,natural-earth-v5.1.2,599
CF,CG,natural-earth-v5.1.2,144
CF,CM,natural-earth-v5.1.2,248
CF,SD,natural-earth-v5.1.2,74
CF,SS,natural-earth-v5.1.2,266
CF,TD,natural-earth-v5.1.2,457
CG,CM,natural-earth-v5.1.2,167
CG,GA,natural-earth-v5.1.2,590
CH,DE,natural-earth-v5.1.2,145
CH,FR,natural-earth-v5.1.2,240
CH,IT,natural-earth-v5.1.2,292
CH,LI,natural-earth-v5.1.2,15
CI,GH,natural-earth-v5.1.2,162
CI,GN,natural-earth-v5.1.2,202
CI,LR,natural-earth-v5.1.2,264
CI,ML,natural-earth-v5.1.2,215
CL,PE,natural-earth-v5.1.2,32
CM,GA,natural-earth-v5.1.2,82
CM,GQ,natural-earth-v5.1.2,19
CM,NG,natural-earth-v5.1.2,411
CM,TD,natural-earth-v5.1.2,255
CN,HK,natural-earth-v5.1.2,15
CN,IN,natural-earth-v5.1.2,575
CN,KG,natural-earth-v5.1.2,236
CN,KP,natural-earth-v5.1.2,495
CN,KZ,natural-earth-v5.1.2,331
CN,LA,natural-earth-v5.1.2,157
CN,MM,natural-earth-v5.1.2,584
CN,MN,natural-earth-v5.1.2,789
CN,MO,manual,0
CN,NP,natural-earth-v5.1.2,509
CN,PK,natural-earth-v5.1.2,106
CN,RU,natural-earth-v5.1.2,1371
CN,TJ,natural-earth-v5.1.2,139
CN,VN,natural-earth-v5.1.2,425
CO,EC,natural-earth-v5.1.2,150
CO,PA,natural-earth-v5.1.2,81
CO,PE,natural-earth-v5.1.2,441
CO,VE,natural-earth-v5.1.2,628
CR,NI,natural-earth-v5.1.2,106
CR,PA,natural-earth-v5.1.2,95
CZ,DE,natural-earth-v5.1.2,338
CZ,PL,natural-earth-v5.1.2,349
CZ,SK,natural-earth-v5.1.2,70
DE,DK,natural-earth-v5.1.2,23
DE,FR,natural-earth-v5.1.2,214
DE,LU,natural-earth-v5.1.2,73
DE,NL,natural-earth-v5.1.2,220
DE,PL,natural-earth-v5.1.2,161
DJ,ER,natural-earth-v5.1.2,23
DJ,ET,natural-earth-v5.1.2,74
DJ,SO,natural-earth-v5.1.2,3
DO,HT,natural-earth-v5.1.2,88
DZ,EH,natural-earth-v5.1.2,5
DZ,LY,natural-earth-v5.1.2,87
DZ,MA,natural-earth-v5.1.2,237
DZ,ML,natural-earth-v5.1.2,196
DZ,MR,natural-earth-v5.1.2,23
DZ,NE,natural-earth-v5.1.2,102
DZ,TN,natural-earth-v5.1.2,158
EA,MA,manual,0
EC,PE,natural-earth-v5.1.2,371
EE,LV,natural-earth-v5.1.2,123
EE,RU,natural-earth-v5.1.2,94
EG,IL,natural-earth-v5.1.2,34
EG,LY,natural-earth-v5.1.2,75
EG,PS,natural-earth-v5.1.2,4
EG,SD,natural-earth-v5.1.2,115
EH,MA,natural-earth-v5.1.2,136
EH,MR,natural-earth-v5.1.2,136
ER,ET,natural-earth-v5.1.2,210
ER,SD,natural-earth-v5.1.2,136
ES,FR,natural-earth-v5.1.2,293
ES,GI,natural-earth-v5.1.2,2
ES,MA,natural-earth-v5.1.2,10
ES,PT,natural-earth-v5.1.2,477
ET,KE,natural-earth-v5.1.2,168
ET,SD,natural-earth-v5.1.2,137
ET,SO,natural-earth-v5.1.2,222
ET,SS,natural-earth-v5.1.2,268
FI,NO,natural-earth-v5.1.2,194
FI,RU,natural-earth-v5.1.2,275
FI,SE,natural-earth-v5.1.2,222
FR,IT,natural-earth-v5.1.2,195
FR,LU,natural-earth-v5.1.2,25
FR,MC,natural-earth-v5.1.2,7
GA,GQ,natural-earth-v5.1.2,29
GB,IE,natural-earth-v5.1.2,238
GE,RU,natural-earth-v5.1.2,189
GE,TR,natural-earth-v5.1.2,93
GF,SR,natural-earth-v5.1.2,146
GH,TG,natural-earth-v5.1.2,334
GM,SN,natural-earth-v5.1.2,178
GN,GW,natural-earth-v5.1.2,106
GN,LR,natural-earth-v5.1.2,222
GN,ML,natural-earth-v5.1.2,328
GN,SL,natural-earth-v5.1.2,223
GN,SN,natural-earth-v5.1.2,106
GR,MK,natural-earth-v5.1.2,111
GR,TR,natural-earth-v5.1.2,104
GT,HN,natural-earth-v5.1.2,68
GT,MX,natural-earth-v5.1.2,223
GT,SV,natural-earth-v5.1.2,72
GW,SN,natural-earth-v5.1.2,39
GY,SR,natural-earth-v5.1.2,288
GY,VE,natural-earth-v5.1.2,205
HN,NI,natural-earth-v5.1.2,362
HN,SV,natural-earth-v5.1.2,171
HR,HU,natural-earth-v5.1.2,148
HR,ME,natural-earth-v5.1.2,11
HR,RS,natural-earth-v5.1.2,134
HR,SI,natural-earth-v5.1.2,249
HU,RO,natural-earth-v5.1.2,184
HU,RS,natural-earth-v5.1.2,71
HU,SI,natural-earth-v5.1.2,42
HU,SK,natural-earth-v5.1.2,191
HU,UA,natural-earth-v5.1.2,56
ID,MY,natural-earth-v5.1.2,448
ID,PG,natural-earth-v5.1.2,97
ID,TL,natural-earth-v5.1.2,103
IL,JO,natural-earth-v5.1.2,137
IL,LB,natural-earth-v5.1.2,53
IL,PS,natural-earth-v5.1.2,167
IL,SY,natural-earth-v5.1.2,32
IN,MM,natural-earth-v5.1.2,452
IN,NP,natural-earth-v5.1.2,513
IN,PK,natural-earth-v5.1.2,629
IQ,IR,natural-earth-v5.1.2,506
IQ,JO,natural-earth-v5.1.2,22
IQ,KW,natural-earth-v5.1.2,21
IQ,SA,natural-earth-v5.1.2,93
IQ,SY,natural-earth-v5.1.2,74
IQ,TR,natural-earth-v5.1.2,103
IR,PK,natural-earth-v5.1.2,223
IR,TM,natural-earth-v5.1.2,326
IR,TR,natural-earth-v5.1.2,203
IT,SI,natural-earth-v5.1.2,92
IT,SM,natural-earth-v5.1.2,18
IT,VA,natural-earth-v5.1.2,6
JO,PS,natural-earth-v5.1.2,56
JO,SA,natural-earth-v5.1.2,74
JO,SY,natural-earth-v5.1.2,69
KE,SO,natural-earth-v5.1.2,67
KE,SS,natural-earth-v5.1.2,38
KE,TZ,natural-earth-v5.1.2,77
KE,UG,natural-earth-v5.1.2,208
KG,KZ,natural-earth-v5.1.2,294
KG,TJ,natural-earth-v5.1.2,310
KG,UZ,natural-earth-v5.1.2,366
KH,LA,natural-earth-v5.1.2,201
KH,TH,natural-earth-v5.1.2,246
KH,VN,natural-earth-v5.1.2,315
KP,KR,natural-earth-v5.1.2,44
KP,RU,natural-earth-v5.1.2,18
KW,SA,natural-earth-v5.1.2,30
KZ,RU,natural-earth-v5.1.2,2048
KZ,TM,natural-earth-v5.1.2,48
KZ,UZ,natural-earth-v5.1.2,561
LA,MM,natural-earth-v5.1.2,71
LA,TH,natural-earth-v5.1.2,600
LA,VN,natural-earth-v5.1.2,736
LB,SY,natural-earth-v5.1.2,156
LR,SL,natural-earth-v5.1.2,59
LS,ZA,natural-earth-v5.1.2,323
LT,LV,natural-earth-v5.1.2,121
LT,PL,natural-earth-v5.1.2,54
LT,RU,natural-earth-v5.1.2,82
LV,RU,natural-earth-v5.1.2,75
LY,NE,natural-earth-v5.1.2,34
LY,SD,natural-earth-v5.1.2,39
LY,TD,natural-earth-v5.1.2,86
LY,TN,natural-earth-v5.1.2,61
MD,RO,natural-earth-v5.1.2,270
MD,UA,natural-earth-v5.1.2,452
ME,RS,natural-earth-v5.1.2,49
ME,XK,natural-earth-v5.1.2,29
MF,SX,natural-earth-v5.1.2,3
MK,RS,natural-earth-v5.1.2,30
MK,XK,natural-earth-v5.1.2,69
ML,MR,natural-earth-v5.1.2,332
ML,NE,natural-earth-v5.1.2,118
ML,SN,natural-earth-v5.1.2,210
MM,TH,natural-earth-v5.1.2,714
MN,RU,natural-earth-v5.1.2,706
MR,SN,natural-earth-v5.1.2,347
MW,MZ,natural-earth-v5.1.2,355
MW,TZ,natural-earth-v5.1.2,173
MW,ZM,natural-earth-v5.1.2,287
MX,US,natural-earth-v5.1.2,967
MY,TH,natural-earth-v5.1.2,168
MZ,SZ,natural-earth-v5.1.2,16
MZ,TZ,natural-earth-v5.1.2,218
MZ,ZA,natural-earth-v5.1.2,60
MZ,ZM,natural-earth-v5.1.2,57
MZ,ZW,natural-earth-v5.1.2,315
NA,ZA,natural-earth-v5.1.2,271
NA,ZM,natural-earth-v5.1.2,96
NE,NG,natural-earth-v5.1.2,276
NE,TD,natural-earth-v5.1.2,231
NG,TD,natural-earth-v5.1.2,3
NO,RU,natural-earth-v5.1.2,66
NO,SE,natural-earth-v5.1.2,222
OM,SA,natural-earth-v5.1.2,47
OM,YE,natural-earth-v5.1.2,32
PL,RU,natural-earth-v5.1.2,15
PL,SK,natural-earth-v5.1.2,211
PL,UA,natural-earth-v5.1.2,167
QA,SA,natural-earth-v5.1.2,8
RO,RS,natural-earth-v5.1.2,208
RO,UA,natural-earth-v5.1.2,197
RS,XK,natural-earth-v5.1.2,130
RU,UA,natural-earth-v5.1.2,617
RW,TZ,natural-earth-v5.1.2,95
RW,UG,natural-earth-v5.1.2,65
SA,YE,natural-earth-v5.1.2,168
SD,SS,natural-earth-v5.1.2,266
SD,TD,natural-earth-v5.1.2,189
SK,UA,natural-earth-v5.1.2,44
SS,UG,natural-earth-v5.1.2,82
SY,TR,natural-earth-v5.1.2,183
SZ,ZA,natural-earth-v5.1.2,70
TJ,UZ,natural-earth-v5.1.2,350
TM,UZ,natural-earth-v5.1.2,335
TZ,UG,natural-earth-v5.1.2,43
TZ,ZM,natural-earth-v5.1.2,88
ZA,ZW,natural-earth-v5.1.2,79
ZM,ZW,natural-earth-v5.1.2,180
